                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5573,                 2.2475,                 1.6122,                0.28369,                0.30148,                 0.2298,                0.13068,                 1.4976,                 2.1727,                 1.5952,               0.070009,              0.0033323,              0.0033323
                      2,                 1.4715,                 2.0407,                 1.5584,                0.43157,                0.34981,                0.33225,                0.20986,                 1.3862,                 1.7699,                 1.4728,               0.039943,              0.0065996,              0.0065996
                      3,                 1.3985,                 1.8846,                 1.5047,                0.53482,                0.39878,                0.41511,                0.27355,                  1.264,                 1.5599,                 1.3999,              0.0098115,               0.009801,               0.009801
                      4,                 1.3473,                  1.763,                  1.467,                0.57899,                0.42088,                0.45062,                0.30286,                 1.1925,                 1.4397,                 1.3325,               0.009703,               0.009703,               0.009703
                      5,                  1.307,                 1.6746,                 1.4407,                 0.6244,                0.44254,                0.49769,                0.34406,                 1.1574,                 1.3148,                 1.2848,               0.009604,               0.009604,               0.009604
                      6,                 1.2897,                  1.609,                 1.4175,                0.64498,                0.46353,                0.52188,                0.36472,                 1.1488,                 1.2391,                 1.2742,               0.009505,               0.009505,               0.009505
                      7,                 1.2606,                 1.5425,                 1.4036,                0.64446,                0.48545,                0.54971,                0.38515,                 1.1062,                 1.1944,                  1.247,               0.009406,               0.009406,               0.009406
                      8,                 1.2386,                 1.4867,                  1.386,                0.66589,                0.49562,                0.56642,                0.40119,                 1.0771,                 1.1436,                 1.2269,               0.009307,               0.009307,               0.009307
                      9,                 1.2243,                 1.4525,                 1.3769,                0.68971,                0.51393,                0.59319,                0.42443,                 1.0622,                 1.0911,                 1.2176,               0.009208,               0.009208,               0.009208
                     10,                 1.2212,                 1.4174,                 1.3672,                0.70425,                0.52365,                0.60976,                0.43661,                 1.0671,                 1.0493,                  1.209,               0.009109,               0.009109,               0.009109
                     11,                 1.2063,                 1.3857,                 1.3624,                0.69866,                 0.5419,                0.62505,                0.44967,                 1.0356,                 1.0191,                 1.1942,                0.00901,                0.00901,                0.00901
                     12,                 1.2015,                 1.3565,                 1.3561,                 0.7096,                0.55312,                0.63767,                0.46221,                 1.0281,                0.99333,                  1.182,               0.008911,               0.008911,               0.008911
                     13,                 1.1921,                 1.3312,                 1.3445,                0.72329,                0.55891,                0.64812,                0.47112,                 1.0166,                0.96803,                 1.1717,               0.008812,               0.008812,               0.008812
                     14,                 1.1807,                 1.2983,                 1.3353,                0.74201,                0.56352,                0.65932,                0.48022,                 1.0108,                0.93927,                 1.1624,               0.008713,               0.008713,               0.008713
                     15,                 1.1789,                 1.2877,                 1.3341,                0.73806,                0.57772,                0.67078,                 0.4903,                0.99463,                0.92646,                 1.1591,               0.008614,               0.008614,               0.008614
                     16,                 1.1608,                 1.2632,                 1.3267,                0.75435,                0.59023,                 0.6861,                0.50194,                0.99203,                 0.9015,                 1.1503,               0.008515,               0.008515,               0.008515
                     17,                 1.1601,                 1.2417,                 1.3241,                0.75365,                0.59722,                0.69241,                0.50787,                0.98353,                 0.8788,                 1.1451,               0.008416,               0.008416,               0.008416
                     18,                 1.1499,                 1.2176,                 1.3126,                   0.77,                0.60195,                0.70081,                 0.5148,                0.97747,                0.85989,                 1.1382,               0.008317,               0.008317,               0.008317
                     19,                  1.138,                 1.1992,                 1.3101,                0.77752,                0.60813,                0.70999,                0.52017,                0.97367,                0.84796,                 1.1324,               0.008218,               0.008218,               0.008218
