                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0413,                0.97563,                 1.2537,                0.78356,                0.66238,                0.75181,                0.56154,                0.93512,                0.79811,                 1.1042,               0.070009,              0.0033323,              0.0033323
                      2,                 1.0135,                0.90363,                  1.235,                0.81949,                 0.6608,                0.76278,                0.56999,                0.93654,                0.77237,                 1.0938,                0.03935,              0.0060057,              0.0060057
                      3,                0.99776,                0.86873,                 1.2217,                 0.8275,                0.66983,                 0.7771,                0.58341,                0.93413,                 0.7351,                 1.0962,              0.0080297,              0.0080192,              0.0080192
                      4,                0.99087,                0.85168,                 1.2186,                0.80817,                0.65715,                0.75457,                0.56814,                 0.9282,                0.76975,                 1.0925,                0.00703,                0.00703,                0.00703
                      5,                0.97899,                0.82078,                 1.2094,                0.83829,                0.68382,                0.78658,                0.58864,                0.94039,                0.70554,                 1.0877,                0.00604,                0.00604,                0.00604
                      6,                0.96487,                0.79291,                 1.1993,                0.83605,                0.67778,                 0.7755,                0.59155,                0.90714,                0.69876,                 1.0721,                0.00505,                0.00505,                0.00505
                      7,                0.95423,                0.76126,                 1.1876,                0.84784,                0.68623,                0.78347,                 0.6042,                0.88242,                0.67722,                 1.0608,                0.00406,                0.00406,                0.00406
                      8,                0.93516,                0.72805,                 1.1735,                0.85499,                0.68882,                0.78815,                0.60438,                0.89629,                  0.665,                 1.0587,                0.00307,                0.00307,                0.00307
                      9,                0.92592,                0.70105,                 1.1657,                0.85147,                0.70012,                  0.798,                0.61352,                0.87851,                0.64798,                 1.0464,                0.00208,                0.00208,                0.00208
                     10,                0.91052,                0.67702,                 1.1584,                0.85834,                0.70167,                0.79778,                0.61666,                 0.8713,                0.64077,                 1.0435,                0.00109,                0.00109,                0.00109
